[2024-09-10 22:46:31,093:INFO: main: Welcome to our custom log]
[2024-09-14 17:53:47,564:INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-14 17:53:47,564:INFO: common: created directory at: artifacts]
[2024-09-14 17:53:47,564:INFO: common: created directory at: artifacts/data_ingestion]
[2024-09-14 17:53:47,564:INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1YKuwii_lywWI_03kOtWC8HF7xy1w2-93/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-09-14 17:54:11,984:INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1YKuwii_lywWI_03kOtWC8HF7xy1w2-93/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-09-14 17:54:12,382:INFO: main: >>>>>>> stage Data Ingestion stage completed <<<<<<<

x==========x]
[2024-09-14 17:54:12,382:INFO: main: ********************]
[2024-09-14 17:54:12,382:INFO: main: >>>>>>> stage Prepare Base model started <<<<<<<]
[2024-09-14 17:54:12,383:INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-09-14 17:54:12,383:INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-14 17:54:12,383:INFO: common: created directory at: artifacts]
[2024-09-14 17:54:12,383:INFO: common: created directory at: artifacts/prepare_base_model]
[2024-09-14 17:54:12,537:WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2024-09-14 17:54:12,571:WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2024-09-14 17:54:12,597:INFO: main: >>>>>>> stage Prepare Base model completed <<<<<<<

x==========x]
